Model,MAE,MAE_sd,RMSE,R2
Stacking (GB+XGB+Ridge),0.9583441350663738,0.08569923628860457,1.2791616706382054,0.3335650907524082
Ridge,0.9789270938260662,0.07837540607942496,1.288096914215625,0.3209933070549146
ElasticNet,1.0010948730867448,0.09947868864416966,1.3388925924704123,0.27036261582217413
SVR (RBF),1.0140670118688384,0.11071985548480487,1.3497765607084697,0.2607277151624979
GradientBoosting,1.0271904058246246,0.10621579613594447,1.3459269264271065,0.25427907581131187
RandomForest,1.0282351163843397,0.1215623451611824,1.373101571739689,0.23369695899822487
XGBoost,1.029186225603021,0.10396016804348997,1.3324284483497282,0.27310690852370956
ExtraTrees,1.0380325528362,0.12954390440378208,1.3986084297070613,0.20603990665166597
B1: IMDb + my offset,1.0649623680781635,0.09789739023265995,1.419440052397677,0.17621816575722934
KNN (k=15),1.0913009546078996,0.121291630309728,1.4646873846586492,0.1312306291073992
LightGBM,1.1267389155274288,0.11381450190350358,1.4591663695906978,0.1289388387673401
B0: predict my mean,1.2089659648097955,0.12310032819695665,,0.0
