feature,importance
director_taste,1.0149263938227286
imdb_rating,0.063027030644774
imdb_x_votes,0.033342123157999684
genre_count,0.028895608902224493
log_votes,0.021632694943241854
g_Action,0.0132072217009492
director_seen_count,0.01271226730788829
runtime,0.012057629683176155
movie_age,0.00779435531325634
g_Animation,0.006876414799445368
rating_order,0.006801904491669085
g_Horror,0.00549732789725426
year,0.004903586084414789
g_Adventure,0.0044427646295657
gx_crime_mystery,0.003936917019703168
g_Thriller,0.003258936235867531
g_War,0.0031751274297095802
g_Romance,0.0024186707087281295
g_Comedy,0.0019726672095142297
g_Biography,0.0013885527839516895
gx_comedy_romance,0.0013069969514625662
g_Sci-Fi,0.0013012375313449162
g_Sport,0.0012969927143629753
genre_taste,0.0012513628625185
gx_scifi_thriller,0.0010621640514140301
g_Family,0.0008502915814351045
g_Drama,0.0006724304211787116
g_Fantasy,0.00045630361135359093
g_Crime,0.0003036666535820784
g_Musical,0.0002091954815880981
g_History,0.00010666541288986697
g_Mystery,8.89701053946243e-05
